,index,id,score,len,label
127,3,14.1,1.1305108008715152,2,0
128,3,14.2,1.0421064062646919,5,0
129,3,14.3,1.1173833261257318,7,0
130,3,14.4,1.0798010676899148,17,0
131,3,14.5,0.9785402492724312,12,0
132,3,14.6,1.1180849874017298,10,0
133,3,14.7,1.0971938110896466,9,1
134,3,15.1,1.1184861204470489,2,0
135,3,15.2,1.089851003775824,5,0
136,3,15.4,1.0711947211740949,11,0
137,3,15.5,1.1422114770339848,4,0
138,3,15.6,1.0590699052158024,7,0
139,3,15.7,1.0595766476732476,10,0
140,3,16.1,1.111000959049755,9,0
141,3,16.2,0.8965431047296566,10,0
142,3,16.3,0.953151715947343,3,0
143,3,17.1,1.060045783267048,4,0
144,3,17.3,1.019838899872723,4,0
145,3,17.4,0.7843858392200609,6,0
146,3,17.5,1.1610675022267718,6,0
147,3,17.6,1.058200158953942,7,0
148,3,17.7,1.1130959174127824,20,0
149,3,17.8,1.0963412460359327,7,0
150,3,17.9,1.089241154610669,10,0
151,3,18.1,1.096879634003374,10,1
152,3,19.1,1.1444287026032751,4,0
153,3,19.3,1.1205056839675471,2,0
154,3,20.1,0.9092645801312171,3,0
155,3,20.2,0.9526662644472211,3,0
156,3,21.1,1.0153775676713996,8,0
157,3,21.2,1.1003770703752083,10,0
158,3,22.1,1.0926582514400534,8,0
159,3,23.1,1.068085071562344,8,0
160,3,23.2,1.0808479794713464,15,0
161,3,23.3,1.0870668733171323,15,0
162,3,24.1,0.9259485364086647,4,0
163,3,24.2,0.9117718219909023,9,0
164,3,24.4,0.9098779462335942,9,0
165,3,24.5,1.1391124119991474,12,0
166,3,25.1,1.1235764948159948,8,0
167,4,1.2,0.9716454054922128,11,1
168,4,1.3,1.0753112924336354,7,1
169,4,1.5,1.017608117445078,9,1
170,4,1.6,1.0558059531513684,9,1
171,4,1.7,1.049388425136152,4,1
172,4,1.8,0.9768760624116614,5,1
173,4,1.9,1.0845646069403518,6,1
174,4,1.10,0.9873791511774007,5,1
175,4,1.13,1.008414797376768,13,1
176,4,1.14,1.0801401740222958,7,0
177,4,2.1,0.8155994947227269,6,0
178,4,3.1,0.9264822136170604,6,0
179,4,3.2,1.0448439287042683,15,1
180,4,4.1,0.9620088841492517,6,0
181,4,4.2,0.7704326339976071,0,0
182,4,4.3,1.0840363366691408,13,0
183,4,4.4,1.020254433900107,3,0
184,4,4.5,1.0623240703983434,7,0
185,4,4.6,1.0660808086486648,12,0
186,4,5.1,1.045560853334526,2,0
187,4,5.2,1.0584897339307529,20,1
188,4,5.3,1.0785693066660365,12,1
189,4,6.1,1.072193761355292,3,0
190,4,7.1,0.8924401730681232,2,0
191,4,7.2,0.9268167975560685,19,1
192,4,7.3,0.9943630884210009,14,1
193,4,7.4,1.0368811927744748,7,1
194,4,7.5,1.0456916689612168,15,1
195,4,7.6,1.051835198224723,13,1
196,4,7.7,1.0274039976598703,7,1
197,4,7.8,1.0281187458326924,5,1
198,4,7.9,0.8818784843922652,15,0
199,4,7.10,0.8798284855607492,5,0
200,4,7.11,0.8739772023788722,9,0
201,4,8.1,1.0669915194505868,15,0
202,4,8.2,1.0640714527326005,2,0
203,4,8.3,1.0045119237780007,19,1
204,4,8.4,0.649596482154368,13,0
205,4,9.1,1.0045143852200407,7,0
206,4,9.2,1.0539250098252242,4,0
207,5,1.1,1.070193041302404,17,1
208,5,1.2,1.0327298942724192,11,1
209,5,1.3,1.0686422830263915,9,1
210,5,1.4,1.1025208262344979,3,1
211,5,1.5,0.9387703856705603,0,1
212,5,1.6,0.7912684134574279,6,1
213,5,1.7,0.9512982770068584,8,1
214,5,1.8,0.9264795986759583,4,0
215,5,1.9,1.0302508033055031,12,1
216,5,1.10,1.0752447888802616,2,0
217,5,1.11,1.0243292946995517,4,0
218,5,1.12,0.9973442920967134,4,0
219,5,2.1,1.1216816624933001,9,0
220,5,3.2,0.9973462249780845,18,0
221,5,3.3,0.15000000000000002,7,0
222,5,3.5,1.0822885446712622,10,0
223,5,3.6,0.7893225869518213,5,1
224,5,3.8,1.0414388101569434,6,0
225,5,4.1,1.0913373815019125,9,1
226,5,4.2,0.9266442198202758,6,0
227,5,4.3,1.1007166696250172,4,0
228,5,4.4,1.0256432510288798,8,0
229,5,4.5,0.8847753166155525,18,1
230,5,4.6,0.834025303212503,2,0
231,5,5.1,1.0793924470706768,4,0
232,5,5.3,1.117316305381066,11,1
233,5,5.4,1.0509001905460569,7,1
234,5,5.5,1.094565335848237,10,1
235,5,5.6,1.0894715629009497,6,1
236,5,6.1,1.0360008944132753,4,0
237,5,6.2,0.4244503799545866,3,0
238,5,7.1,1.0815508924961938,2,0
239,5,7.2,0.9667872973783709,6,0
240,5,7.3,1.0499534651178406,13,0
241,5,7.4,1.0815535395651517,11,0
242,5,8.1,1.0126524553103482,2,0
243,5,8.2,1.0935504143894337,3,0
244,5,8.3,1.0827996160592308,10,0
245,5,8.4,0.9981775155903749,11,0
246,5,8.5,0.9192669983955439,16,0
247,5,8.6,1.0690457473520527,3,0
248,5,9.1,1.0962250546191288,4,0
249,5,10.1,1.0691400901934998,4,0
250,5,10.2,0.9351794882502592,3,0
251,5,11.1,0.15000000000000002,14,1
252,5,11.2,1.0701482630553403,8,1
253,5,11.3,1.0853525613282669,9,0
254,5,11.4,0.98286124343872,12,0
255,5,12.1,1.1012151448377532,4,0
256,5,12.3,0.795265731246995,4,0
257,5,13.1,0.9062772154860032,5,0
258,5,13.2,0.6440841715570795,7,0
259,5,13.3,1.0855863078568546,7,0
260,5,14.1,1.1145500468295881,6,1
261,5,14.2,1.0630256321801814,9,1
262,5,14.3,1.074479504483331,9,1
263,5,15.1,1.0335013998183475,4,0
264,5,15.2,1.0613688520493514,2,0
265,5,15.3,1.0515103226894453,9,1
266,5,15.4,1.0171502260708285,12,1
267,5,15.5,0.9769042916423163,8,1
268,5,16.1,1.0645304066572432,16,0
269,5,16.2,1.1031681801799338,6,0
270,5,16.3,0.5305346794181565,11,0
271,5,16.4,0.9812253033716603,16,1
272,5,16.5,1.0898025215249225,7,1
273,5,16.6,1.0045979882316551,10,1
274,5,16.7,1.0659266280309212,15,1
275,5,16.10,1.0756020918435882,8,1
276,5,16.11,0.9812287234233681,8,1
277,5,17.1,0.7757176038030769,17,1
278,5,17.2,0.6891762068501186,6,1
279,5,17.3,1.0121340235731546,3,0
280,5,17.5,1.117666019583887,14,1
281,5,17.6,1.1073807187547482,2,0
282,5,17.8,0.6891782520994867,10,1
283,5,17.9,1.0842671953382557,3,0
284,5,17.10,1.0871275353622138,4,0
285,5,17.11,1.107383496452371,2,0
286,5,17.12,1.0912716852779285,17,0
287,5,17.13,1.039343056595373,8,1
288,5,17.14,0.9812358128359907,18,1
289,5,17.15,0.9812366628282192,7,0
290,5,17.16,0.7757238871470247,10,1
291,5,17.17,1.0877462688195179,4,0
292,5,17.18,1.029804080042138,4,0
293,5,18.1,1.0759847598235823,1,0
294,5,18.2,1.1048509422043398,7,0
295,5,19.2,0.9812404789662179,18,0
296,5,19.3,0.9143664498330768,5,0
297,5,19.4,0.948090292788059,5,0
298,6,1.1,1.0504924336757193,14,1
299,6,1.2,1.0543418036464178,7,0
300,6,1.3,1.0351729603801911,2,0
301,6,1.4,0.9472163314478492,6,0
302,6,1.5,0.15000000000000002,12,1
303,6,1.6,1.0653798930449547,7,0
304,6,2.1,1.0683834622976356,5,1
305,6,2.2,0.9982042007745348,7,0
306,6,2.3,1.0777576792039758,15,1
307,6,2.4,0.8300930187949345,6,0
308,6,3.1,0.928974672513744,5,0
309,6,4.1,0.6156661073720938,2,0
310,6,4.2,1.043555364567073,5,0
311,6,4.3,1.0971696250226595,7,0
312,6,4.4,1.0475827464566612,15,0
313,6,4.5,1.0681573781545506,6,0
314,6,4.7,1.012370741158714,7,0
315,6,4.8,1.039835449488196,12,0
316,6,5.1,1.0534109577220971,7,1
317,6,5.2,1.0066543239999914,9,1
318,6,6.1,0.9855201389855176,8,0
319,6,7.1,1.0393088099753376,3,0
320,6,7.3,1.0845682173013746,3,0
321,6,7.4,0.5419543020795324,4,0
322,6,8.1,0.9027459097367554,4,1
323,6,9.1,1.0857314875163038,5,1
324,6,10.1,0.968235736823868,3,0
325,6,10.2,1.0266852450512283,4,0
326,6,10.3,1.048013212768021,8,0
327,7,1.1,1.1556812798275966,9,1
328,7,1.2,1.0378866266193358,15,0
329,7,1.3,0.6278207055258966,6,0
330,7,1.4,1.1167902488936674,13,1
331,7,2.1,1.1482056626807364,12,1
332,7,2.2,1.046710802265656,2,0
333,7,3.1,1.1155083994365456,5,1
334,7,3.3,1.0570572290234752,3,0
335,7,3.5,1.1655960217561026,5,0
336,7,3.6,0.9772807388171559,7,1
337,7,4.1,1.0209126220907292,10,0
338,7,4.2,0.7397995883058531,5,0
339,7,5.1,1.1155175268479642,11,1
340,7,5.2,1.0570661448123189,11,0
341,7,6.1,1.1656061177464152,4,0
342,7,6.3,0.9772899826975803,1,0
343,7,6.4,1.1448350224845512,3,0
344,7,6.5,1.1561115251803624,15,0
345,7,7.1,1.0523422803487184,5,1
346,7,7.2,1.1516688695471116,10,0
347,7,7.3,1.045443725248799,23,0
348,7,8.1,0.8614295621809124,2,0
349,7,8.2,0.7356791068627198,5,0
350,7,8.3,0.7356810085996128,4,0
351,7,8.4,0.8308135202081569,8,0
352,7,9.1,1.0989113535162158,10,1
353,7,9.2,1.0053280265072138,8,0
354,7,9.3,1.0372273893677737,8,0
355,7,9.4,0.9985650185879005,3,0
356,7,10.1,0.8904056828281623,2,0
357,7,10.2,1.1011854297952834,10,0
358,7,10.4,1.121618755053282,8,0
359,7,10.5,1.1169476648335737,8,0
360,7,10.6,1.1575973549299388,3,0
361,7,10.7,0.7929459624301581,10,0
362,7,10.8,1.0989294301124213,11,1
363,7,10.9,0.9626532981018787,9,1
364,7,11.1,1.0687126988379267,10,0
365,7,11.2,0.9437410125250522,12,1
366,7,12.1,1.166709230124631,4,0
367,7,12.2,1.1415562675819726,19,1
368,7,12.3,0.9971969980679174,6,0
369,7,13.1,1.0834745266235053,4,0
370,7,13.2,1.0352845186855317,6,0
371,7,14.1,0.6407979056777915,2,0
372,7,15.1,0.6865664711101748,8,1
373,7,16.1,1.0282708564562162,3,0
374,7,16.2,0.6641576788072238,7,0
375,7,16.3,0.6404608721791696,7,1
